experiment,learning_rate,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error
H1a-noise,0.05,41000,19.718222079,1.540171248,20,0.577306625
H1a-noise,0.2,41000,6.434622622,1.317256247,8,0.009188033
H1a-noise,0.5,41000,2.030910722,0.855268012,2,0.000336051
H1a-noise,0.8,41000,1.450175095,0.404407775,1,0.026683025
H1a-noise,0.05,41001,19.54699894,1.518558254,20,0.581699889
H1a-noise,0.2,41001,6.452852735,1.269667751,7,0.030904442
H1a-noise,0.5,41001,1.924466324,0.74391744,2,0.010437059
H1a-noise,0.8,41001,1.263857106,0.204689754,0,0.019625044
H1a-noise,0.05,41002,19.668952365,1.528586041,20,0.595037735
H1a-noise,0.2,41002,6.708730517,1.317520952,7,0.070455691
H1a-noise,0.5,41002,2.46776438,0.884971565,2,0.055344036
H1a-noise,0.8,41002,1.618869538,0.422351829,1,0.028160831
H1a-noise,0.05,41003,19.659865762,1.516947167,20,0.598543851
H1a-noise,0.2,41003,6.813791751,1.274113637,6,0.062508003
H1a-noise,0.5,41003,2.389570749,0.77020489,2,0.04382153
H1a-noise,0.8,41003,1.593837956,0.237109873,0,0.065262174
H1a-noise,0.05,41004,19.520910287,1.49981919,20,0.587314364
H1a-noise,0.2,41004,6.674494434,1.231926457,7,0.042159316
H1a-noise,0.5,41004,2.604487138,0.771040237,2,0.006277672
H1a-noise,0.8,41004,1.976861869,0.344258357,1,0.023089878
H1a-noise,0.05,41005,19.505666726,1.513670692,20,0.583238701
H1a-noise,0.2,41005,6.422385388,1.254241619,7,0.040652729
H1a-noise,0.5,41005,1.922459075,0.743126357,2,0.035271231
H1a-noise,0.8,41005,1.337203252,0.241905119,0,0.042182912
H1a-noise,0.05,41006,19.511896597,1.514825575,20,0.576761203
H1a-noise,0.2,41006,6.59449079,1.295499609,7,0.014213802
H1a-noise,0.5,41006,2.195966331,0.871934749,2,0.04654821
H1a-noise,0.8,41006,1.451038697,0.438564107,1,0.100523712
H1a-noise,0.05,41007,19.788128698,1.530012932,20,0.589545612
H1a-noise,0.2,41007,6.869132762,1.320529595,7,0.030687972
H1a-noise,0.5,41007,2.415000262,0.900356984,2,0.003157307
H1a-noise,0.8,41007,1.497649588,0.468773969,1,0.019680517
H1a-noise,0.05,41008,19.602532719,1.521093887,20,0.553758443
H1a-noise,0.2,41008,6.678478645,1.275918525,8,0.048169636
H1a-noise,0.5,41008,2.764215959,0.770337466,2,0.048307474
H1a-noise,0.8,41008,2.107268071,0.263855362,0,0.015426156
H1a-noise,0.05,41009,19.452491085,1.532361372,20,0.557839031
H1a-noise,0.2,41009,6.112108792,1.303096442,7,0.025380204
H1a-noise,0.5,41009,2.176775477,0.791795506,2,0.065483902
H1a-noise,0.8,41009,1.634587858,0.281604649,0,0.089694052
H1a-noise,0.05,41010,19.425584954,1.513083003,20,0.569922996
H1a-noise,0.2,41010,6.179847986,1.25153014,7,0.017566132
H1a-noise,0.5,41010,2.035320147,0.742497939,2,0.004397221
H1a-noise,0.8,41010,1.59115278,0.253880889,0,0.013580187
H1a-noise,0.05,41011,19.531662095,1.513755825,20,0.574531448
H1a-noise,0.2,41011,6.453396166,1.259532955,7,0.004227928
H1a-noise,0.5,41011,2.26331167,0.796818518,2,0.068140956
H1a-noise,0.8,41011,1.477196008,0.363357105,1,0.105112797
H1a-noise,0.05,41012,19.769829364,1.538789715,20,0.573314278
H1a-noise,0.2,41012,6.682045139,1.337056271,7,0.004825209
H1a-noise,0.5,41012,2.551404652,0.907501432,2,0.003032115
H1a-noise,0.8,41012,1.747503999,0.479047534,1,0.035769834
H1a-noise,0.05,41013,19.314214963,1.507309479,20,0.554475949
H1a-noise,0.2,41013,6.210240231,1.269387825,7,0.021837274
H1a-noise,0.5,41013,2.348472681,0.817754767,2,0.050305496
H1a-noise,0.8,41013,1.674637555,0.346571567,1,0.053842388
H1a-noise,0.05,41014,19.052257589,1.506913534,20,0.555477684
H1a-noise,0.2,41014,5.819013468,1.268360333,7,0.027730906
H1a-noise,0.5,41014,2.065056348,0.832352089,2,0.087621081
H1a-noise,0.8,41014,1.619120411,0.411402312,1,0.156118604
H1a-noise,0.05,41015,19.248541244,1.515437549,20,0.563986983
H1a-noise,0.2,41015,5.878915401,1.258010768,7,0.016670345
H1a-noise,0.5,41015,2.138862465,0.779893505,2,0.031452273
H1a-noise,0.8,41015,1.522637084,0.318476768,1,0.104489573
H1a-noise,0.05,41016,19.476597985,1.513595715,20,0.589144365
H1a-noise,0.2,41016,6.434139339,1.261693246,7,0.068188381
H1a-noise,0.5,41016,2.10315151,0.778897617,2,0.101219053
H1a-noise,0.8,41016,1.423122384,0.302800357,1,0.157780475
H1a-noise,0.05,41017,19.27872534,1.507514477,20,0.552943527
H1a-noise,0.2,41017,6.090826839,1.247252749,7,0.030116319
H1a-noise,0.5,41017,1.847325921,0.726427619,2,0.072008606
H1a-noise,0.8,41017,1.080190454,0.218966426,0,0.076061103
H1a-noise,0.05,41018,19.103955529,1.511942234,20,0.565426437
H1a-noise,0.2,41018,5.830481574,1.272617589,6,0.035204882
H1a-noise,0.5,41018,2.167886557,0.809967946,2,0.057534525
H1a-noise,0.8,41018,1.860133447,0.328870114,1,0.097250598
H1a-noise,0.05,41019,19.184659696,1.498616502,20,0.572745906
H1a-noise,0.2,41019,6.064225158,1.226420158,7,0.040594375
H1a-noise,0.5,41019,1.879609621,0.717863267,2,0.022031102
H1a-noise,0.8,41019,1.304477942,0.177946919,0,0.00568952
H1a-noise,0.05,41020,19.763553225,1.526753216,20,0.586415018
H1a-noise,0.2,41020,6.798526049,1.295649541,7,0.012523976
H1a-noise,0.5,41020,2.26181585,0.806338416,2,0.065298038
H1a-noise,0.8,41020,1.563520387,0.314791908,1,0.097209748
H1a-noise,0.05,41021,19.250836995,1.514802574,20,0.565614078
H1a-noise,0.2,41021,5.971476606,1.268273799,6,0.02676332
H1a-noise,0.5,41021,2.050869558,0.778816928,2,0.036166135
H1a-noise,0.8,41021,1.66972474,0.263908172,0,0.042653267
H1a-noise,0.05,41022,19.619326047,1.548713272,20,0.573812191
H1a-noise,0.2,41022,6.173338928,1.34230156,7,0.021415276
H1a-noise,0.5,41022,1.880450572,0.882653438,2,0.023916058
H1a-noise,0.8,41022,1.166174364,0.418778621,1,0.029946971
H1a-noise,0.05,41023,19.414103366,1.518244874,20,0.559816733
H1a-noise,0.2,41023,6.280580264,1.275197046,7,0.034944185
H1a-noise,0.5,41023,2.190428279,0.782425934,2,0.125696995
H1a-noise,0.8,41023,1.612108628,0.290610158,0,0.154317319
H1a-noise,0.05,41024,19.161933575,1.496764142,20,0.564904769
H1a-noise,0.2,41024,6.027815991,1.231604628,7,0.022512124
H1a-noise,0.5,41024,1.864686586,0.757712492,2,0.004361681
H1a-noise,0.8,41024,1.38370119,0.268653442,0,0.018061031
H1a-noise,0.05,41025,19.427858551,1.508243569,20,0.577816277
H1a-noise,0.2,41025,6.215367694,1.233143913,7,0.047962073
H1a-noise,0.5,41025,2.482670418,0.733578522,2,0.074537023
H1a-noise,0.8,41025,1.867086701,0.242827562,0,0.122111618
H1a-noise,0.05,41026,18.861026438,1.494023025,20,0.555726968
H1a-noise,0.2,41026,5.463383403,1.210823727,6,0.042383276
H1a-noise,0.5,41026,2.075569794,0.682101775,2,0.066477299
H1a-noise,0.8,41026,1.544119874,0.172656863,0,0.078823612
H1a-noise,0.05,41027,19.500001339,1.534221611,20,0.562061401
H1a-noise,0.2,41027,6.160973351,1.317052314,8,0.003085613
H1a-noise,0.5,41027,2.266215737,0.826470965,2,0.017166553
H1a-noise,0.8,41027,1.541530125,0.330021557,1,0.045665515
H1a-noise,0.05,41028,19.441317477,1.518880866,20,0.575584605
H1a-noise,0.2,41028,6.273230181,1.292566208,7,0.057169419
H1a-noise,0.5,41028,2.36913019,0.807086639,2,0.145343432
H1a-noise,0.8,41028,1.523143292,0.272272052,0,0.240596394
H1a-noise,0.05,41029,19.213666962,1.508441026,20,0.553502169
H1a-noise,0.2,41029,6.022438689,1.26450493,7,0.001340439
H1a-noise,0.5,41029,2.280275316,0.805979024,2,0.018608384
H1a-noise,0.8,41029,1.448296053,0.324667335,1,0.049470444
H1a-noise,0.05,41030,19.152950761,1.513398242,20,0.555241987
H1a-noise,0.2,41030,5.902231975,1.293111064,7,0.000348828
H1a-noise,0.5,41030,2.286394847,0.884608295,2,0.034612688
H1a-noise,0.8,41030,1.730631073,0.452750158,1,0.036969529
H1a-noise,0.05,41031,19.344876453,1.52315268,20,0.576835843
H1a-noise,0.2,41031,6.065136685,1.294267259,7,0.061975869
H1a-noise,0.5,41031,2.200242448,0.823793216,2,0.096199229
H1a-noise,0.8,41031,1.503168017,0.33272408,1,0.119216349
H1a-noise,0.05,41032,19.612442245,1.520632059,20,0.584194829
H1a-noise,0.2,41032,6.61450729,1.292466758,8,0.036832326
H1a-noise,0.5,41032,2.11066961,0.833081019,2,0.023319933
H1a-noise,0.8,41032,1.278312347,0.385414066,1,0.019204248
H1a-noise,0.05,41033,19.168453064,1.516382688,20,0.556491283
H1a-noise,0.2,41033,5.859744941,1.285950566,6,0.006583337
H1a-noise,0.5,41033,1.869575294,0.836752977,2,0.010956667
H1a-noise,0.8,41033,1.244662586,0.373373284,1,0.04464607
H1a-noise,0.05,41034,20.010099946,1.545748962,20,0.605526439
H1a-noise,0.2,41034,7.00620367,1.329362916,7,0.060183491
H1a-noise,0.5,41034,2.544282499,0.836863164,2,0.028753153
H1a-noise,0.8,41034,1.705964467,0.328154353,1,0.005403776
H1a-noise,0.05,41035,19.708418301,1.531898515,20,0.580149743
H1a-noise,0.2,41035,6.544659328,1.304585611,7,0.017890462
H1a-noise,0.5,41035,2.210151729,0.844062811,2,0.008023264
H1a-noise,0.8,41035,1.534665718,0.393332013,1,0.014685632
H1a-noise,0.05,41036,19.791813714,1.521168617,20,0.593193666
H1a-noise,0.2,41036,6.892221994,1.283551973,8,0.041164723
H1a-noise,0.5,41036,2.351984331,0.803023298,2,0.022344001
H1a-noise,0.8,41036,1.638552501,0.32112257,1,0.022172771
H1a-noise,0.05,41037,19.249012295,1.521614135,20,0.54835235
H1a-noise,0.2,41037,6.132791253,1.30320713,6,0.036640368
H1a-noise,0.5,41037,2.263025662,0.842693403,2,0.061877992
H1a-noise,0.8,41037,1.547112076,0.343164341,1,0.046582424
H1a-noise,0.05,41038,19.876718196,1.536514803,20,0.594699293
H1a-noise,0.2,41038,6.859657919,1.32427291,7,0.051853833
H1a-noise,0.5,41038,2.512327946,0.866075816,2,0.081679067
H1a-noise,0.8,41038,1.912748879,0.410901047,1,0.113472736
H1a-noise,0.05,41039,19.269278001,1.502004946,20,0.552585882
