experiment,learning_rate,time,reference,observation,model,proposal,reference_option,proposed_options,model_error,proposal_matches_reference
H1a,0.05,0,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,1,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,2,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,3,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,4,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,5,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,6,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,7,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,8,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,9,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.05,10,0.8,0.8,-0.72,-0.72,1.0,-1.0,1.52,False
H1a,0.05,11,0.8,0.8,-0.644,-0.644,1.0,-1.0,1.444,False
H1a,0.05,12,0.8,0.8,-0.5718,-0.5718,1.0,-1.0,1.3718,False
H1a,0.05,13,0.8,0.8,-0.50321,-0.50321,1.0,-1.0,1.30321,False
H1a,0.05,14,0.8,0.8,-0.438049,-0.438049,1.0,0.0,1.238049,False
H1a,0.05,15,0.8,0.8,-0.376147,-0.376147,1.0,0.0,1.176147,False
H1a,0.05,16,0.8,0.8,-0.31734,-0.31734,1.0,0.0,1.11734,False
H1a,0.05,17,0.8,0.8,-0.261473,-0.261473,1.0,0.0,1.061473,False
H1a,0.05,18,0.8,0.8,-0.208399,-0.208399,1.0,0.0,1.008399,False
H1a,0.05,19,0.8,0.8,-0.157979,-0.157979,1.0,0.0,0.957979,False
H1a,0.05,20,0.8,0.8,-0.11008,-0.11008,1.0,0.0,0.91008,False
H1a,0.05,21,0.8,0.8,-0.064576,-0.064576,1.0,0.0,0.864576,False
H1a,0.05,22,0.8,0.8,-0.021347,-0.021347,1.0,0.0,0.821347,False
H1a,0.05,23,0.8,0.8,0.01972,0.01972,1.0,0.0,0.78028,False
H1a,0.05,24,0.8,0.8,0.058734,0.058734,1.0,0.0,0.741266,False
H1a,0.05,25,0.8,0.8,0.095797,0.095797,1.0,0.0,0.704203,False
H1a,0.05,26,0.8,0.8,0.131007,0.131007,1.0,0.0,0.668993,False
H1a,0.05,27,0.8,0.8,0.164457,0.164457,1.0,0.0,0.635543,False
H1a,0.05,28,0.8,0.8,0.196234,0.196234,1.0,0.0,0.603766,False
H1a,0.05,29,0.8,0.8,0.226423,0.226423,1.0,0.0,0.573577,False
H1a,0.2,0,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,1,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,2,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,3,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,4,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,5,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,6,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,7,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,8,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,9,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.2,10,0.8,0.8,-0.48,-0.48,1.0,0.0,1.28,False
H1a,0.2,11,0.8,0.8,-0.224,-0.224,1.0,0.0,1.024,False
H1a,0.2,12,0.8,0.8,-0.0192,-0.0192,1.0,0.0,0.8192,False
H1a,0.2,13,0.8,0.8,0.14464,0.14464,1.0,0.0,0.65536,False
H1a,0.2,14,0.8,0.8,0.275712,0.275712,1.0,0.0,0.524288,False
H1a,0.2,15,0.8,0.8,0.38057,0.38057,1.0,0.0,0.41943,False
H1a,0.2,16,0.8,0.8,0.464456,0.464456,1.0,0.0,0.335544,False
H1a,0.2,17,0.8,0.8,0.531565,0.531565,1.0,1.0,0.268435,True
H1a,0.2,18,0.8,0.8,0.585252,0.585252,1.0,1.0,0.214748,True
H1a,0.2,19,0.8,0.8,0.628201,0.628201,1.0,1.0,0.171799,True
H1a,0.2,20,0.8,0.8,0.662561,0.662561,1.0,1.0,0.137439,True
H1a,0.2,21,0.8,0.8,0.690049,0.690049,1.0,1.0,0.109951,True
H1a,0.2,22,0.8,0.8,0.712039,0.712039,1.0,1.0,0.087961,True
H1a,0.2,23,0.8,0.8,0.729631,0.729631,1.0,1.0,0.070369,True
H1a,0.2,24,0.8,0.8,0.743705,0.743705,1.0,1.0,0.056295,True
H1a,0.2,25,0.8,0.8,0.754964,0.754964,1.0,1.0,0.045036,True
H1a,0.2,26,0.8,0.8,0.763971,0.763971,1.0,1.0,0.036029,True
H1a,0.2,27,0.8,0.8,0.771177,0.771177,1.0,1.0,0.028823,True
H1a,0.2,28,0.8,0.8,0.776942,0.776942,1.0,1.0,0.023058,True
H1a,0.2,29,0.8,0.8,0.781553,0.781553,1.0,1.0,0.018447,True
H1a,0.5,0,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,1,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,2,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,3,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,4,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,5,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,6,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,7,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,8,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,9,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.5,10,0.8,0.8,0.0,0.0,1.0,0.0,0.8,False
H1a,0.5,11,0.8,0.8,0.4,0.4,1.0,0.0,0.4,False
H1a,0.5,12,0.8,0.8,0.6,0.6,1.0,1.0,0.2,True
H1a,0.5,13,0.8,0.8,0.7,0.7,1.0,1.0,0.1,True
H1a,0.5,14,0.8,0.8,0.75,0.75,1.0,1.0,0.05,True
H1a,0.5,15,0.8,0.8,0.775,0.775,1.0,1.0,0.025,True
H1a,0.5,16,0.8,0.8,0.7875,0.7875,1.0,1.0,0.0125,True
H1a,0.5,17,0.8,0.8,0.79375,0.79375,1.0,1.0,0.00625,True
H1a,0.5,18,0.8,0.8,0.796875,0.796875,1.0,1.0,0.003125,True
H1a,0.5,19,0.8,0.8,0.798438,0.798438,1.0,1.0,0.001563,True
H1a,0.5,20,0.8,0.8,0.799219,0.799219,1.0,1.0,0.000781,True
H1a,0.5,21,0.8,0.8,0.799609,0.799609,1.0,1.0,0.000391,True
H1a,0.5,22,0.8,0.8,0.799805,0.799805,1.0,1.0,0.000195,True
H1a,0.5,23,0.8,0.8,0.799902,0.799902,1.0,1.0,9.8e-05,True
H1a,0.5,24,0.8,0.8,0.799951,0.799951,1.0,1.0,4.9e-05,True
H1a,0.5,25,0.8,0.8,0.799976,0.799976,1.0,1.0,2.4e-05,True
H1a,0.5,26,0.8,0.8,0.799988,0.799988,1.0,1.0,1.2e-05,True
H1a,0.5,27,0.8,0.8,0.799994,0.799994,1.0,1.0,6e-06,True
H1a,0.5,28,0.8,0.8,0.799997,0.799997,1.0,1.0,3e-06,True
H1a,0.5,29,0.8,0.8,0.799998,0.799998,1.0,1.0,2e-06,True
H1a,0.8,0,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,1,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,2,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,3,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,4,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,5,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,6,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,7,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,8,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,9,-0.8,-0.8,-0.8,-0.8,-1.0,-1.0,0.0,True
H1a,0.8,10,0.8,0.8,0.48,0.48,1.0,0.0,0.32,False
H1a,0.8,11,0.8,0.8,0.736,0.736,1.0,1.0,0.064,True
H1a,0.8,12,0.8,0.8,0.7872,0.7872,1.0,1.0,0.0128,True
H1a,0.8,13,0.8,0.8,0.79744,0.79744,1.0,1.0,0.00256,True
H1a,0.8,14,0.8,0.8,0.799488,0.799488,1.0,1.0,0.000512,True
H1a,0.8,15,0.8,0.8,0.799898,0.799898,1.0,1.0,0.000102,True
H1a,0.8,16,0.8,0.8,0.79998,0.79998,1.0,1.0,2e-05,True
H1a,0.8,17,0.8,0.8,0.799996,0.799996,1.0,1.0,4e-06,True
H1a,0.8,18,0.8,0.8,0.799999,0.799999,1.0,1.0,1e-06,True
H1a,0.8,19,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,20,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,21,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,22,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,23,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,24,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,25,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,26,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,27,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,28,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H1a,0.8,29,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,0,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,1,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,2,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,3,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,4,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,5,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,6,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,7,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,8,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,9,0.8,0.8,0.8,0.8,1.0,1.0,0.0,True
H2,0.05,10,0.8,-0.8,0.72,0.72,1.0,1.0,0.08,True
H2,0.05,11,0.8,-0.8,0.644,0.644,1.0,1.0,0.156,True
H2,0.05,12,0.8,0.8,0.6518,0.6518,1.0,1.0,0.1482,True
H2,0.05,13,0.8,0.8,0.65921,0.65921,1.0,1.0,0.14079,True
H2,0.05,14,0.8,0.8,0.666249,0.666249,1.0,1.0,0.133751,True
H2,0.05,15,0.8,0.8,0.672937,0.672937,1.0,1.0,0.127063,True
H2,0.05,16,0.8,0.8,0.67929,0.67929,1.0,1.0,0.12071,True
H2,0.05,17,0.8,0.8,0.685326,0.685326,1.0,1.0,0.114674,True
