experiment,condition_id,option_set_id,baseline_response,baseline_magnitude,proposal_value,coupling,options,post_proposal_response,nearest_options,person_response,person_response_source,analysis_substituted_response,pause_source,decision_status,decision_value,response_effect,decision_effect,decision_mismatch,decision_opposes_baseline_response,ai_option_loss_structural_constant,rights_violation_structural_constant,analysis_row_valid
baseline_sensitivity,B=+1.00|a=0.0,baseline_3,1.0,1.0,-1.0,0.0,-1.0|0.0|1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.0,False,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.1,baseline_3,1.0,1.0,-1.0,0.1,-1.0|0.0|1.0,0.8,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.1,0.0,0.0,False,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.2,baseline_3,1.0,1.0,-1.0,0.2,-1.0|0.0|1.0,0.6,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.2,0.0,0.0,False,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.3,baseline_3,1.0,1.0,-1.0,0.3,-1.0|0.0|1.0,0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.3,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.4,baseline_3,1.0,1.0,-1.0,0.4,-1.0|0.0|1.0,0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.4,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.5,baseline_3,1.0,1.0,-1.0,0.5,-1.0|0.0|1.0,0.0,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.5,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.6,baseline_3,1.0,1.0,-1.0,0.6,-1.0|0.0|1.0,-0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.6,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.7,baseline_3,1.0,1.0,-1.0,0.7,-1.0|0.0|1.0,-0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.7,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.8,baseline_3,1.0,1.0,-1.0,0.8,-1.0|0.0|1.0,-0.6,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.8,1.0,1.0,True,0.0,False,True
baseline_sensitivity,B=+1.00|a=0.9,baseline_3,1.0,1.0,-1.0,0.9,-1.0|0.0|1.0,-0.8,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.9,1.0,1.0,True,0.0,False,True
baseline_sensitivity,B=+1.00|a=1.0,baseline_3,1.0,1.0,-1.0,1.0,-1.0|0.0|1.0,-1.0,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,1.0,1.0,1.0,True,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.0,baseline_3,0.75,0.75,-0.75,0.0,-1.0|0.0|1.0,0.75,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.125,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.1,baseline_3,0.75,0.75,-0.75,0.1,-1.0|0.0|1.0,0.6,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.075,0.0,0.125,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.2,baseline_3,0.75,0.75,-0.75,0.2,-1.0|0.0|1.0,0.45,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.15,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.3,baseline_3,0.75,0.75,-0.75,0.3,-1.0|0.0|1.0,0.3,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.225,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.4,baseline_3,0.75,0.75,-0.75,0.4,-1.0|0.0|1.0,0.15,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.3,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.5,baseline_3,0.75,0.75,-0.75,0.5,-1.0|0.0|1.0,0.0,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.375,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.6,baseline_3,0.75,0.75,-0.75,0.6,-1.0|0.0|1.0,-0.15,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.45,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.7,baseline_3,0.75,0.75,-0.75,0.7,-1.0|0.0|1.0,-0.3,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.525,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.8,baseline_3,0.75,0.75,-0.75,0.8,-1.0|0.0|1.0,-0.45,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.6,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=+0.75|a=0.9,baseline_3,0.75,0.75,-0.75,0.9,-1.0|0.0|1.0,-0.6,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.675,1.0,0.875,True,0.0,False,True
baseline_sensitivity,B=+0.75|a=1.0,baseline_3,0.75,0.75,-0.75,1.0,-1.0|0.0|1.0,-0.75,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.75,1.0,0.875,True,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.0,baseline_3,-0.75,0.75,0.75,0.0,-1.0|0.0|1.0,-0.75,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.0,0.0,0.125,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.1,baseline_3,-0.75,0.75,0.75,0.1,-1.0|0.0|1.0,-0.6,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.075,0.0,0.125,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.2,baseline_3,-0.75,0.75,0.75,0.2,-1.0|0.0|1.0,-0.45,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.15,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.3,baseline_3,-0.75,0.75,0.75,0.3,-1.0|0.0|1.0,-0.3,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.225,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.4,baseline_3,-0.75,0.75,0.75,0.4,-1.0|0.0|1.0,-0.15,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.3,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.5,baseline_3,-0.75,0.75,0.75,0.5,-1.0|0.0|1.0,0.0,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.375,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.6,baseline_3,-0.75,0.75,0.75,0.6,-1.0|0.0|1.0,0.15,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.45,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.7,baseline_3,-0.75,0.75,0.75,0.7,-1.0|0.0|1.0,0.3,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.525,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.8,baseline_3,-0.75,0.75,0.75,0.8,-1.0|0.0|1.0,0.45,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.6,0.5,0.375,False,0.0,False,True
baseline_sensitivity,B=-0.75|a=0.9,baseline_3,-0.75,0.75,0.75,0.9,-1.0|0.0|1.0,0.6,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.675,1.0,0.875,True,0.0,False,True
baseline_sensitivity,B=-0.75|a=1.0,baseline_3,-0.75,0.75,0.75,1.0,-1.0|0.0|1.0,0.75,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.75,1.0,0.875,True,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.0,baseline_3,-1.0,1.0,1.0,0.0,-1.0|0.0|1.0,-1.0,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.0,0.0,0.0,False,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.1,baseline_3,-1.0,1.0,1.0,0.1,-1.0|0.0|1.0,-0.8,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.1,0.0,0.0,False,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.2,baseline_3,-1.0,1.0,1.0,0.2,-1.0|0.0|1.0,-0.6,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.2,0.0,0.0,False,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.3,baseline_3,-1.0,1.0,1.0,0.3,-1.0|0.0|1.0,-0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.3,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.4,baseline_3,-1.0,1.0,1.0,0.4,-1.0|0.0|1.0,-0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.4,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.5,baseline_3,-1.0,1.0,1.0,0.5,-1.0|0.0|1.0,0.0,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.5,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.6,baseline_3,-1.0,1.0,1.0,0.6,-1.0|0.0|1.0,0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.6,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.7,baseline_3,-1.0,1.0,1.0,0.7,-1.0|0.0|1.0,0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.7,0.5,0.5,False,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.8,baseline_3,-1.0,1.0,1.0,0.8,-1.0|0.0|1.0,0.6,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.8,1.0,1.0,True,0.0,False,True
baseline_sensitivity,B=-1.00|a=0.9,baseline_3,-1.0,1.0,1.0,0.9,-1.0|0.0|1.0,0.8,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.9,1.0,1.0,True,0.0,False,True
baseline_sensitivity,B=-1.00|a=1.0,baseline_3,-1.0,1.0,1.0,1.0,-1.0|0.0|1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,1.0,1.0,1.0,True,0.0,False,True
