proposal_value,proposal_relationship,coupling,baseline_response,post_proposal_response,nearest_options,person_response,person_response_source,analysis_substituted_response,pause_source,decision_status,decision_value,response_effect,decision_effect,decision_mismatch,decision_opposes_baseline_response,option_loss_structural_constant,rejection_blockage_structural_constant,rights_violation_structural_constant,analysis_row_valid
-1.0,opposed,0.0,1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.0,False,0.0,0,False,True
-1.0,opposed,0.1,1.0,0.8,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.1,0.0,0.0,False,0.0,0,False,True
-1.0,opposed,0.2,1.0,0.6,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.2,0.0,0.0,False,0.0,0,False,True
-1.0,opposed,0.3,1.0,0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.3,0.5,0.5,False,0.0,0,False,True
-1.0,opposed,0.4,1.0,0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.4,0.5,0.5,False,0.0,0,False,True
-1.0,opposed,0.5,1.0,0.0,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.5,0.5,0.5,False,0.0,0,False,True
-1.0,opposed,0.6,1.0,-0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.6,0.5,0.5,False,0.0,0,False,True
-1.0,opposed,0.7,1.0,-0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.7,0.5,0.5,False,0.0,0,False,True
-1.0,opposed,0.8,1.0,-0.6,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.8,1.0,1.0,True,0.0,0,False,True
-1.0,opposed,0.9,1.0,-0.8,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.9,1.0,1.0,True,0.0,0,False,True
-1.0,opposed,1.0,1.0,-1.0,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,1.0,1.0,1.0,True,0.0,0,False,True
0.0,intermediate,0.0,1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.0,False,0.0,0,False,True
0.0,intermediate,0.1,1.0,0.9,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.05,0.0,0.0,False,0.0,0,False,True
0.0,intermediate,0.2,1.0,0.8,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.1,0.0,0.0,False,0.0,0,False,True
0.0,intermediate,0.3,1.0,0.7,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.15,0.0,0.0,False,0.0,0,False,True
0.0,intermediate,0.4,1.0,0.6,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.2,0.0,0.0,False,0.0,0,False,True
0.0,intermediate,0.5,1.0,0.5,0.0|1.0,defer,analysis_substitution_from_discretized_equation_output,True,discretization_tie,paused,,0.25,,,,0.0,0,False,True
0.0,intermediate,0.6,1.0,0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.3,0.5,0.5,False,0.0,0,False,True
0.0,intermediate,0.7,1.0,0.3,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.35,0.5,0.5,False,0.0,0,False,True
0.0,intermediate,0.8,1.0,0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.4,0.5,0.5,False,0.0,0,False,True
0.0,intermediate,0.9,1.0,0.1,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.45,0.5,0.5,False,0.0,0,False,True
0.0,intermediate,1.0,1.0,0.0,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.5,0.5,0.5,False,0.0,0,False,True
1.0,aligned,0.0,1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.0,False,0.0,0,False,True
1.0,aligned,0.1,1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.0,False,0.0,0,False,True
