mechanism,severity,signed_parameter,mechanism_direction,runs,cumulative_model_error_median,cumulative_model_error_q05,cumulative_model_error_q95,maximum_model_error_median,maximum_model_error_q05,maximum_model_error_q95,proposal_mismatch_steps_median,proposal_mismatch_steps_q05,proposal_mismatch_steps_q95,final_model_error_median,final_model_error_q05,final_model_error_q95,observed_fraction_full_sequence_median,observed_fraction_full_sequence_q05,observed_fraction_full_sequence_q95,observed_fraction_evaluation_window_median,observed_fraction_evaluation_window_q05,observed_fraction_evaluation_window_q95
delay,0.0,0.0,past_reference,100,2.212993359,1.894549402,2.575413469,0.796774263,0.71578438,0.874339234,2.0,2.0,2.0,0.041641987,0.006922191,0.111825464,1.0,1.0,1.0,1.0,1.0,1.0
delay,1.0,1.0,past_reference,100,3.764416812,3.414042746,4.146839498,1.59333666,1.515027797,1.673947118,3.0,3.0,3.0,0.035917595,0.003444746,0.100581536,1.0,1.0,1.0,1.0,1.0,1.0
delay,3.0,3.0,past_reference,100,6.85560722,6.536982664,7.29902259,1.635361644,1.554955495,1.691931807,5.0,5.0,5.0,0.038881524,0.004675847,0.096511767,1.0,1.0,1.0,1.0,1.0,1.0
delay,5.0,5.0,past_reference,100,9.93860469,9.629098914,10.444709441,1.649672326,1.574554038,1.724432172,7.0,7.0,7.0,0.039559454,0.00406942,0.107833462,1.0,1.0,1.0,1.0,1.0,1.0
missingness,0.0,0.0,not_directional,100,2.212993359,1.894549402,2.575413469,0.796774263,0.71578438,0.874339234,2.0,2.0,2.0,0.041641987,0.006922191,0.111825464,1.0,1.0,1.0,1.0,1.0,1.0
missingness,0.1,0.1,not_directional,100,2.413281717,1.922797904,3.907362052,0.811629861,0.71568852,1.614935029,2.0,2.0,3.05,0.035488419,0.003496304,0.111822162,0.9,0.8,0.966666667,0.9,0.7975,1.0
missingness,0.3,0.3,not_directional,100,3.228460827,1.956145493,5.763928153,0.83804642,0.718403572,1.657486456,3.0,2.0,6.0,0.037377822,0.002211765,0.099880574,0.7,0.565,0.833333333,0.7,0.5,0.85
missingness,0.5,0.5,not_directional,100,4.964349439,2.142069451,9.585169179,1.52297909,0.720878308,1.654535614,5.0,2.0,11.0,0.03649221,0.002744503,0.10512093,0.516666666,0.333333333,0.633333333,0.5,0.3,0.65
systematic_bias,0.0,-0.0,negative_away_from_postchange_reference,100,2.212993359,1.894549402,2.575413469,0.796774263,0.71578438,0.874339234,2.0,2.0,2.0,0.041641987,0.006922191,0.111825464,1.0,1.0,1.0,1.0,1.0,1.0
systematic_bias,0.2,-0.2,negative_away_from_postchange_reference,100,5.548037836,4.887211249,6.166999012,0.982061361,0.897156691,1.060119814,4.0,3.0,6.0,0.197237078,0.088003614,0.290754892,1.0,1.0,1.0,1.0,1.0,1.0
systematic_bias,0.4,-0.4,negative_away_from_postchange_reference,100,9.392447712,8.739587674,10.024286137,1.103769447,1.022355545,1.182429065,20.0,18.0,20.0,0.397236896,0.288003434,0.490754799,1.0,1.0,1.0,1.0,1.0,1.0
systematic_bias,0.8,-0.8,negative_away_from_postchange_reference,100,16.992448094,16.339588055,17.626010337,1.303769447,1.222365771,1.382429065,20.0,20.0,20.0,0.797236514,0.688003052,0.890754417,1.0,1.0,1.0,1.0,1.0,1.0
