mechanism,severity,signed_parameter,mechanism_direction,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error,observed_fraction_full_sequence,observed_fraction_evaluation_window
missingness,0.0,0.0,not_directional,52000,2.488091387,0.870540724,2,0.03479456,1.0,1.0
missingness,0.1,0.1,not_directional,52000,4.614944381,0.871879014,6,0.034926178,0.766666667,0.75
missingness,0.3,0.3,not_directional,52000,8.226190099,1.625364394,7,0.103269114,0.566666667,0.55
missingness,0.5,0.5,not_directional,52000,8.345900496,1.615911479,7,0.080246062,0.433333333,0.4
missingness,0.0,0.0,not_directional,52001,1.840149378,0.736693556,2,0.018443517,1.0,1.0
missingness,0.1,0.1,not_directional,52001,1.834153917,0.736788475,2,0.018444789,0.9,0.95
missingness,0.3,0.3,not_directional,52001,1.956810627,0.737161578,2,0.054871851,0.733333333,0.75
missingness,0.5,0.5,not_directional,52001,2.049635433,0.737161578,2,0.07022756,0.6,0.55
missingness,0.0,0.0,not_directional,52002,2.465381218,0.735789069,2,0.105893416,1.0,1.0
missingness,0.1,0.1,not_directional,52002,3.255510846,0.735789069,3,0.094097759,0.9,0.85
missingness,0.3,0.3,not_directional,52002,4.137760361,0.736534678,5,0.09308054,0.7,0.65
missingness,0.5,0.5,not_directional,52002,9.511191408,1.520023282,8,0.086536529,0.466666667,0.45
missingness,0.0,0.0,not_directional,52003,2.538859008,0.814967683,2,0.048034455,1.0,1.0
missingness,0.1,0.1,not_directional,52003,2.584794728,0.821593712,2,0.036643283,0.866666667,0.9
missingness,0.3,0.3,not_directional,52003,4.826706309,1.59962023,4,0.041107889,0.633333333,0.65
missingness,0.5,0.5,not_directional,52003,7.065703368,1.607810061,5,0.037364822,0.433333333,0.45
missingness,0.0,0.0,not_directional,52004,1.91912236,0.790318023,2,0.050502728,1.0,1.0
missingness,0.1,0.1,not_directional,52004,1.982142336,0.790345834,2,0.050494789,0.933333333,0.95
missingness,0.3,0.3,not_directional,52004,4.578120541,1.519352645,4,0.039736937,0.733333333,0.65
missingness,0.5,0.5,not_directional,52004,5.178615808,1.535051796,6,0.039580941,0.533333333,0.6
missingness,0.0,0.0,not_directional,52005,2.244214097,0.869149163,3,0.0759421,1.0,1.0
missingness,0.1,0.1,not_directional,52005,3.162357938,0.869149163,3,0.075943851,0.966666667,0.95
missingness,0.3,0.3,not_directional,52005,3.852532555,0.869149163,4,0.074706461,0.833333333,0.75
missingness,0.5,0.5,not_directional,52005,4.083122399,0.870476945,4,0.074869705,0.6,0.55
missingness,0.0,0.0,not_directional,52006,2.026997342,0.847093008,2,0.069682547,1.0,1.0
missingness,0.1,0.1,not_directional,52006,3.618885922,1.653838284,3,0.06065267,0.833333333,0.8
missingness,0.3,0.3,not_directional,52006,5.627147597,1.657932498,4,0.060779943,0.666666667,0.7
missingness,0.5,0.5,not_directional,52006,5.645748853,1.65809267,4,0.059054105,0.6,0.65
missingness,0.0,0.0,not_directional,52007,2.300395483,0.809441692,2,0.101142065,1.0,1.0
missingness,0.1,0.1,not_directional,52007,3.906306818,1.635333999,3,0.10114364,0.933333333,0.95
missingness,0.3,0.3,not_directional,52007,3.593791288,1.615734286,3,0.01049036,0.666666667,0.7
missingness,0.5,0.5,not_directional,52007,5.061178023,1.615734286,4,0.01111982,0.6,0.6
missingness,0.0,0.0,not_directional,52008,2.227553451,0.812421553,2,0.055563599,1.0,1.0
missingness,0.1,0.1,not_directional,52008,2.232166365,0.815148834,2,0.055734745,0.933333333,0.95
missingness,0.3,0.3,not_directional,52008,3.515012449,1.525397968,3,0.055737455,0.866666667,0.9
missingness,0.5,0.5,not_directional,52008,3.467271193,1.597785263,3,0.054285035,0.633333333,0.7
missingness,0.0,0.0,not_directional,52009,2.075197228,0.794459532,2,0.01261579,1.0,1.0
missingness,0.1,0.1,not_directional,52009,2.105933793,0.794459532,2,0.012661882,0.966666667,0.95
missingness,0.3,0.3,not_directional,52009,4.725445801,1.525934898,4,0.000400996,0.7,0.75
missingness,0.5,0.5,not_directional,52009,6.899771025,1.525934898,7,0.033210232,0.533333333,0.5
missingness,0.0,0.0,not_directional,52010,2.102893116,0.765598536,2,0.058184167,1.0,1.0
missingness,0.1,0.1,not_directional,52010,2.102893116,0.765598536,2,0.058184167,1.0,1.0
missingness,0.3,0.3,not_directional,52010,2.359432536,0.772800949,2,0.049346662,0.8,0.9
missingness,0.5,0.5,not_directional,52010,2.757627942,0.772800949,3,0.002752432,0.6,0.6
missingness,0.0,0.0,not_directional,52011,2.067514324,0.797954943,2,0.090232111,1.0,1.0
missingness,0.1,0.1,not_directional,52011,2.980649547,0.842787684,3,0.052317844,0.8,0.85
missingness,0.3,0.3,not_directional,52011,3.030593174,0.842787684,3,0.053001033,0.7,0.7
missingness,0.5,0.5,not_directional,52011,4.629959642,0.846947908,5,0.061086298,0.533333333,0.5
missingness,0.0,0.0,not_directional,52012,2.291843119,0.753580726,2,0.009679829,1.0,1.0
missingness,0.1,0.1,not_directional,52012,2.234144779,0.753960766,2,0.008719195,0.9,0.9
missingness,0.3,0.3,not_directional,52012,3.900204627,1.644493088,3,0.055037851,0.666666667,0.65
missingness,0.5,0.5,not_directional,52012,4.701667826,1.641743349,4,0.049818384,0.5,0.45
missingness,0.0,0.0,not_directional,52013,2.360970539,0.788166014,2,0.012669905,1.0,1.0
missingness,0.1,0.1,not_directional,52013,3.174870134,0.803805413,3,0.012601575,0.833333333,0.9
missingness,0.3,0.3,not_directional,52013,3.20068844,0.810162154,3,0.012468694,0.666666667,0.8
missingness,0.5,0.5,not_directional,52013,3.799942129,0.835223214,4,0.011022508,0.5,0.6
missingness,0.0,0.0,not_directional,52014,1.798991347,0.720290698,1,0.029158267,1.0,1.0
missingness,0.1,0.1,not_directional,52014,1.804500205,0.723951042,1,0.029158274,0.866666667,1.0
missingness,0.3,0.3,not_directional,52014,1.862990794,0.72584762,1,0.006658077,0.5,0.55
missingness,0.5,0.5,not_directional,52014,2.146934399,0.721067773,1,0.001970341,0.433333333,0.5
missingness,0.0,0.0,not_directional,52015,2.411421949,0.814093428,2,0.079128607,1.0,1.0
missingness,0.1,0.1,not_directional,52015,2.42342631,0.820245915,2,0.079128619,0.9,1.0
missingness,0.3,0.3,not_directional,52015,3.893397303,1.567648017,3,0.078772977,0.733333333,0.75
missingness,0.5,0.5,not_directional,52015,5.646102712,1.579543736,5,0.079910982,0.5,0.5
missingness,0.0,0.0,not_directional,52016,2.046563423,0.767102115,2,0.02463256,1.0,1.0
missingness,0.1,0.1,not_directional,52016,2.312334926,0.788487355,2,0.024575621,0.9,0.9
missingness,0.3,0.3,not_directional,52016,2.586382667,0.799269525,2,0.02154069,0.7,0.7
missingness,0.5,0.5,not_directional,52016,2.655055866,0.773229873,2,0.022552073,0.533333333,0.5
missingness,0.0,0.0,not_directional,52017,2.081227363,0.790193959,2,0.074460028,1.0,1.0
